vineyard,date,block,variety,clone,rootstock,year,acres
QuailsGateEstate,Apr-13,2-1,Syrah,877C,3309,2010,2.69
QuailsGateEstate,Apr-13,2-2,Merlot,181,SO4/5,1998,2.79
QuailsGateEstate,Apr-13,2-3,Chasselas,UCD,Self,1975,1.92
QuailsGateEstate,Apr-13,2-4,Chardonnay,UCD,Self,1987,1.4
QuailsGateEstate,Apr-13,2-5,Chardonnay,UCD,Mixed,1993,0.72
QuailsGateEstate,Apr-13,2-6,Chenin Blanc,220,SO4/5,1997,4.04
QuailsGateEstate,Apr-13,2-7,Merlot,347,3309/347,1998,2.7
QuailsGateEstate,Apr-13,2-8,Merlot,346,3309,1998,0.85
QuailsGateEstate,Apr-13,2-9,Merlot,346,SO4/762,2008,0.78
QuailsGateEstate,Apr-13,3-1,Pinot Noir,777,3309/144,2005,1.79
QuailsGateEstate,Apr-13,3-2,Marechal Foch,NY,Self,1965,1.1
QuailsGateEstate,Apr-13,3-3,Pinot Noir,667,3309/144,1996,2.47
QuailsGateEstate,Apr-13,3-4,Chardonnay,95,SO4/102,1996,2.39
QuailsGateEstate,Apr-13,3-5,Pinot Noir,91R,SO4,1990,0.92
QuailsGateEstate,Apr-13,3-6,Pinot Noir,UCD-2,SO4,1987,0.55
QuailsGateEstate,Apr-13,3-7,Pinot Noir,93R,5C,1987,0.96
QuailsGateEstate,Apr-13,3-8,Pinot Noir,UCD-1,Self,1975,0.57
QuailsGateEstate,Apr-13,4-1,Chardonnay,95,SO4,2008,2.35
QuailsGateEstate,Apr-13,4-2,Pinot Noir,667,3309/144,2005,0.9
QuailsGateEstate,Apr-13,4-3,Pinot Noir,93R,SO4,1990,2.68
QuailsGateEstate,Apr-13,4-4,Marechal Foch,NY,Self,1965,0.83
QuailsGateEstate,Apr-13,4-5,Cabernet Sauvignon,191,SO4/5,2004,2.36
QuailsGateEstate,Apr-13,4-6,Cabernet Sauvignon,191,SO4/102,1997,1.17
QuailsGateEstate,Apr-13,4-7,Pinot Noir,115,SO4/5,2005,0.53
QuailsGateEstate,Apr-13,4-8,Pinot Noir,155,3309/144,2005,1.25
QuailsGateEstate,Apr-13,4-9,Pinot Noir,777,3309/144,2005,1.63
QuailsGateEstate,Apr-13,4-10,Pinot Noir,93R,SO4,1990,1.72
QuailsGateEstate,Apr-13,4-11,Pinot Noir,115,SO4/5,2003,1.57
QuailsGateEstate,Apr-13,5-1,Chardonnay,76,SO4/102,1997,1.8
QuailsGateEstate,Apr-13,5-2,Chardonnay,96,SO4/102,1997,1.92
QuailsGateEstate,Apr-13,5-3,Chardonnay,277,SO4/102,1997,1.43
QuailsGateEstate,Apr-13,5-4,Chardonnay,809,SO4/102,1997,1.03
QuailsGateEstate,Apr-13,5-5,Pinot Noir,115,SO4/762,1997,1.01
QuailsGateEstate,Apr-13,5-6,Pinot Noir,777,SO4/102,1997,1.5
QuailsGateEstate,Apr-13,5-7,Cabernet Sauvignon,191,SO4/102,1997,0.95
QuailsGateEstate,Apr-13,5-8,Gewurztraminer,UCD,Self,1994,0.53
QuailsGateEstate,Apr-13,5-9,Gewurztraminer,UCD,Self,1989,1.37
QuailsGateEstate,Apr-13,5-10,Pinot Noir,777,3309/144,2005,0.13
QuailsGateEstate,Apr-13,6-1,Merlot,181,3309/143,2003,2.39
QuailsGateEstate,Apr-13,6-2,Merlot,181,SO4/5,2003,2.53
