samdate,sampler,growblk,variety,brix,ta,ph,avg. berry wt.,dMACH
05-09-29,SL,*06PGG,PGR,22.6,6.07,3.93,,
05-09-29,SL,*06CFJ,CAF,23.3,7.1,3.6,,
05-09-29,SL,*06CAD,CAS,21.4,5.91,3.93,,
05-09-29,AN,*05SZJ,SHZ,23,9.91,3.6,,
05-09-29,AN,*05CAI,CAS,21.9,9.29,3.56,,
05-09-29,AN,*05CAH,CAS,22.5,10.2,3.49,,
05-09-29,AN,*02SZQ,SHZ,26.3,8.08,3.58,,
05-09-29,SL,*01MEH,MER,28.5,4.66,3.84,,
05-09-29,SL,*01MEE,MER,26.5,4.9,3.81,,
05-09-29,SL,*01MED,MER,25.8,5.89,3.67,,
05-09-29,SL,*01MEB,MER,25.7,5.54,3.74,,
05-09-29,SL,*01MEA,MER,24.6,5.51,3.68,,
05-09-28,TT,SUNPND,PNN,23.5,10.25,3.31,,
05-09-28,TT,SUNPNB,PNN,22.9,10.43,3.13,,
05-09-28,TT,SUNPBC,PBL,21.7,10.26,3.16,,
05-09-28,TT,SUNPBA,PBL,22.2,10.79,3.1,,
05-09-28,TT,SUNGAE,GAM,23.7,9.89,3.27,,
05-09-28,TT,SPERSC,RSL,21.1,12.02,3.08,,
05-09-28,TT,SPEPGG,PGR,23.9,9.38,3.47,,
05-09-28,TT,SPEPBI,PBL,22.2,11.4,3.26,,
05-09-28,TT,SPEPBD,PBL,21.2,9.82,3.27,,
05-09-28,,09MEC,MER,26.04,5,3.79,,135.96
05-09-28,,09MEA,MER,27.64,5.1,3.74,,90.84
05-09-28,JS,*15PGV,PGR,25.8,8.23,3.53,,
05-09-28,JS,*15PGU,PGR,26.1,7.83,3.6,,
05-09-28,SL,*11CFN,CAF,24.5,5.59,3.64,,
05-09-28,SL,*11CFM,CAF,24.3,5.54,3.61,,
05-09-28,SL,*11CFL,CAF,24.4,5.71,3.54,,
05-09-28,SL,*11CAR,CAS,23.8,5.94,3.57,,
05-09-28,SL,*11CAQ,CAS,24.2,6.34,3.57,,
05-09-28,SL,*11CAP,CAS,24,6.01,3.62,,
05-09-28,JS,*08MEC,MER,25.3,5.05,3.73,,
05-09-28,SL,*08MEC,MER,26,5.58,3.7,,
05-09-28,SL,*04MEA,MER,26.8,5.21,3.73,,
05-09-28,SL,*04MEA,MER,27,5.47,3.71,,
05-09-28,SL,*04CFC,CAF,25.4,5.81,3.58,,
05-09-28,AN,*03CFG,CAF,24.1,5.77,3.75,,
05-09-28,AN,*03CAL,CAS,24.1,7.08,3.59,,
05-09-28,AN,*03CAL,CAS,24,6.6,3.61,,
05-09-28,AN,*03CAK,CAS,24.9,6.72,3.72,,
05-09-28,AN,*03CAH,CAS,25.3,6.36,3.71,,
05-09-28,AN,*02CFH,CAF,26.1,6.9,3.59,,
05-09-28,AN,*02CAS,CAS,26.5,7.01,3.66,,
05-09-28,AN,*02CAP,CAS,26.2,7.44,3.63,,
05-09-28,AN,*02CAO,CAS,26.4,7.55,3.61,,
05-09-28,AN,*02CAG,CAS,26.5,7.2,3.55,,
05-09-28,AN,*02CAF,CAS,27.1,7.57,3.5,,
05-09-28,AN,*02CAA,CAS,26.9,7.48,3.48,,
05-09-28,SL,*01CFF,CAF,24.4,5.63,3.58,,
05-09-27,LB,HINPGA,PGR,20.4,10.05,2.99,,
05-09-27,LB,HINMEC,MER,18.8,10.05,3,,
05-09-27,LB,HINCHB,CHD,19.5,9.45,3.03,,
05-09-27,MM,DROPGR,PGR,21.5,9.24,3.37,,
05-09-27,TT,DROPGR,PGR,21.2,8.47,3.45,,
05-09-27,VT,*16RSD,RSL,23.6,7.29,3.35,,
05-09-27,AN,*15PGV,PGR,25.7,7.78,3.43,,
05-09-27,AN,*15PGU,PGR,25.4,7.8,3.52,,
05-09-27,AN,*15PGT,PGR,24.5,8.82,3.43,,
05-09-27,AN,*15PBS,PBL,23.3,9.79,3.01,,
05-09-27,AN,*15PBQ,PBL,23.6,9.55,4.03,,
05-09-27,AN,*15PBP,PBL,23.7,9.12,3.88,,
05-09-27,AN,*15PBL,PBL,23.6,9.24,3.33,,
05-09-27,AN,*15PBJ,PBL,23.1,10.87,3.25,,
05-09-27,SL,*15MEX,MER,26.9,7.76,3.5,,
05-09-27,AN,*15MEO,MER,25.1,9,4.09,,
05-09-27,AN,*15MEN,MER,25.9,8.18,3.47,,
05-09-27,AN,*15MEM,MER,26.2,7.22,3.56,,
05-09-27,AN,*15GWH,GZT,23.1,8.03,3.46,,
05-09-27,AN,*15CHY,CHD,23.9,8,3.44,,
05-09-27,SL,*15CHG,CHD,22,10.93,3.3,,
05-09-27,SL,*15CHF,CHD,22.3,11.72,3.25,,
05-09-27,SL,*15CHE,CHD,23.2,10.32,3.3,,
05-09-27,SL,*15CHE,CHD,23.6,10.16,3.29,,
05-09-27,SL,*15CHE,CHD,23.9,10.17,3.2,,
05-09-27,SL,*15CHD,CHD,22.6,11.64,3.23,,
05-09-27,SL,*15CHD,CHD,23.4,10.4,3.2,,
05-09-27,SL,*15CHD,CHD,23.3,10.61,3.26,,
05-09-27,SL,*15CHC,CHD,22.8,11.06,3.24,,
05-09-27,SL,*15CHC,CHD,23.1,11.15,3.21,,
05-09-27,SL,*15CHC,CHD,24.5,10.44,3.3,,
05-09-27,VT,*12SMN,SEM,22.2,7.94,3.66,,
05-09-27,VT,*12SMG,SEM,22,7.39,3.63,,
05-09-27,VT,*12PBM,PBL,22.1,6.52,3.95,,
05-09-27,VT,*12PBF,PBL,21.7,7.2,3.9,,
05-09-27,VT,*10PBW,PBL,23.1,6.23,3.94,,
05-09-27,VT,*10PBS,PBL,22.5,6.16,3.87,,
05-09-26,LB,GAB,CHD,21.4,7.8,3.2,,
05-09-26,VT,DROPNN,PNN,22.7,10.7,3.32,,
05-09-26,TT,DROPNN,PNN,22.4,11.39,3.46,,
05-09-26,VT,DROGAM,GAM,22.6,11.48,3.53,,
05-09-26,LB,DEKCHD,CHD,21.6,9,3.22,,
05-09-26,SL,*12PNO,PNN,23.6,7.68,4.1,,
05-09-26,SL,*12PNH,PNN,23.1,7.22,4.24,,
05-09-26,SL,*12PNC,PNN,22.2,7.01,3.91,,
05-09-26,SL,*12PNA,PNN,23.7,6.75,4.26,,
05-09-26,SL,*10PNI,PNN,22.3,6.54,4.05,,
05-09-26,SL,*10PNH,PNN,22,6.58,4.44,,
05-09-26,SL,*10PNG,PNN,24.6,6.51,4.3,,
05-09-26,SL,*10PGV,PGR,23.9,6.57,4.13,,
05-09-26,SL,*10CHQ,CHD,24.1,7.07,4.07,,
05-09-26,SL,*10CHP,CHD,24.9,6.29,4.2,,
05-09-26,AN,*09MEC,MER,26,5,3.79,,
05-09-26,AN,*09MEA,MER,27.6,5.1,3.74,,
05-09-26,SL,*08CHA,CHD,23,7.37,3.74,,
05-09-26,SL,*06PGH,PGR,23,6.26,4.11,,
05-09-26,SL,*06PGG,PGR,21.9,6.23,3.93,,
05-09-26,SL,*06CHF,CHD,23.3,7.67,3.6,,
05-09-26,SL,*05CHK,CHD,23.9,8.09,3.51,,
05-09-26,SL,*05CHG,CHD,24.1,7.75,3.34,,
05-09-26,AN,*04MEA,MER,27,5,3.49,,
05-09-26,AN,*02MEM,MER,27.1,5.1,3.9,,
05-09-26,AN,*02MEL,MER,27.2,5.4,3.74,,
05-09-26,AN,*02MEJ,MER,26.6,5,3.84,,
05-09-26,AN,*02MEI,MER,27.5,5.1,3.81,,
05-09-23,SL,INKPNZ,PNN,24.4,6.6,3.8,,
05-09-23,SL,INKPGY,PGR,23.6,5.7,3.63,,
05-09-23,SL,*11GAK,GAM,25,9.2,3.94,,
05-09-23,SL,*11CFM,CAF,23.3,4.9,3.87,,
05-09-23,SL,*11CFL,CAF,23.8,4.5,3.73,,
05-09-23,SL,*11CAP,CAS,23.5,6.3,3.78,,
05-09-23,SL,*10MEJ,MER,24,4.5,3.99,,
05-09-23,SL,*09PVF,PVD,25.9,7.1,3.66,,
05-09-23,SL,*09MEA,MER,25.2,4.3,3.83,,
05-09-23,SL,*04MEA,MER,25.9,4.8,3.58,,
05-09-23,VT,*02MEM,MER,26.6,6.2,3.79,1.27,162.12
05-09-23,VT,*02MEL,MER,26.5,6.58,3.75,1.32,162.24
05-09-23,VT,*02MEI,MER,26.7,6.13,3.85,1.41,137.52
05-09-23,VT,*02MEI,MER,26,6.56,3.74,1.22,176.04
05-09-23,VT,*02CAS,CAS,26,8.57,3.7,1.12,122.76
05-09-23,VT,*02CAP,CAS,25.3,8.51,3.84,1.14,117.24
05-09-23,SL,*01CFF,CAF,23.1,4.9,3.49,,
05-09-22,VT,SRSPND,PNN,21.8,10.37,3.02,,
05-09-22,VT,SRSPNB,PNN,20.8,11.39,2.94,,
05-09-22,VT,SRSPBC,PBL,20.6,10.34,2.89,,
05-09-22,VT,SRSPBA,PBL,21.1,10.49,2.95,,
05-09-22,VT,SRSGAE,GAM,21.6,10.33,3.02,,
05-09-22,VT,SPEPGG,PGR,23,8.37,3.14,,
05-09-22,VT,SPEPGB,PGR,22.4,10.36,3.09,,
05-09-22,VT,SPEPBI,PBL,19.8,10.47,2.96,,
05-09-22,VT,SPEPBD,PBL,20.9,10.58,3.03,,
05-09-22,VT,SPEGWH,GZT,21.8,8.03,3.2,,
05-09-22,VT,SPEBCE,BCC,20.1,6.28,3.14,,
05-09-22,SL,*12PBM,PBL,21.4,6.93,3.83,,
05-09-22,SL,*12PBF,PBL,20.7,7.69,3.73,,
05-09-22,SL,*10PNI,PNN,21.7,5.2,4.01,,
05-09-22,SL,*10PNH,PNN,21.5,5.3,3.89,,
05-09-22,SL,*10PBX,PBL,21.8,6.05,3.82,,
05-09-22,SL,*10PBW,PBL,22.4,6.61,3.77,,
05-09-22,SL,*10PBT,PBL,21,7,3.8,,
05-09-22,SL,*10PBS,PBL,21.2,6.01,3.72,,
05-09-22,SL,*09PGD,PGR,25.1,4.75,3.76,,
05-09-22,SL,*09PGB,PGR,25.6,5.06,3.66,,
05-09-22,HS,*07PNC,PNN,24.4,8.4,3.18,,
05-09-22,HS,*07PNC,PNN,23.6,9.2,3.19,,
05-09-22,HS,*07PNC,PNN,23.9,8,3.38,,
05-09-22,HS,*07PNC,PNN,23.5,8,3.41,,
05-09-22,HS,*07PNC,PNN,24.4,8.4,3.18,,
05-09-22,HS,*07PNC,PNN,23.6,9.2,3.19,,
05-09-22,HS,*07PNC,PNN,23.9,8,3.38,,
05-09-22,HS,*07PNC,PNN,23.5,8,3.41,,
05-09-22,SL,*03PBD,PBL,23.8,7,3.46,,
05-09-22,SL,*03PBC,PBL,23.5,7.88,3.35,,
05-09-22,SL,*03CFG,CAF,23.4,5.8,3.7,,
05-09-22,SL,*03CAL,CAS,22.9,7.2,3.46,,
05-09-22,SL,*03CAK,CAS,23.9,5.9,3.69,,
05-09-22,SL,*03CAH,CAS,23.4,6.6,3.67,,
05-09-22,SL,*02SZQ,SHZ,24.9,8.1,3.52,,
05-09-22,SL,*02CFH,CAF,24.9,6.5,3.62,,
05-09-22,SL,*02CAS,CAS,25.5,6.7,3.71,,
05-09-22,SL,*02CAP,CAS,24.7,7.1,3.73,,
05-09-22,SL,*02CAO,CAS,25.1,6.5,3.7,,
05-09-22,SL,*02CAG,CAS,25.8,7.1,3.65,,
05-09-22,SL,*02CAF,CAS,25.4,6.6,3.71,,
05-09-22,SL,*02CAA,CAS,24.4,7.8,3.55,,
05-09-21,LB,SDHPG,PGR,22.5,7.65,3.25,,
05-09-21,LB,SDHGZ,GZT,21.9,4.95,3.59,,
05-09-21,SL,*16SZL,SHZ,23.4,7.61,3.68,,
05-09-21,SL,*12SZK,SHZ,24,8.95,3.9,,
05-09-21,SL,*12SZE,SHZ,24.4,8.18,3.94,,
05-09-21,SL,*12SMN,SEM,20.8,8.12,3.65,,
05-09-21,SL,*12SMG,SEM,21,9.07,3.52,,
05-09-21,SL,*11PBS,PBL,23.4,6.8,3.56,,
05-09-21,SL,*10SZY,SHZ,22.8,9.49,3.76,,
05-09-21,SL,*10SZL,SHZ,22.6,8.67,3.64,,
05-09-21,SL,*09SZE,SHZ,24.3,7.68,3.58,,
05-09-21,SL,*06SZI,SHZ,21.1,7.73,3.69,,
05-09-21,SL,*06SZC,SHZ,21,8.85,3.65,,
05-09-21,SL,*06SZB,SHZ,21.4,9.3,3.63,,
05-09-21,SL,*06SZA,SHZ,22.5,7.89,3.64,,
05-09-21,SL,*05SZJ,SHZ,20.6,9.37,3.45,,
05-09-21,SL,*05SZF,SHZ,21.9,9.47,3.48,,
05-09-21,SL,*05SZC,SHZ,21.4,9.51,3.42,,
05-09-21,SL,*01MEH,MER,26.5,5.09,3.74,,
05-09-21,SL,*01MEG,MER,24.1,5.04,3.7,,
05-09-21,SL,*01MEE,MER,24.9,5.2,3.75,,
05-09-21,SL,*01MED,MER,23.5,5.84,3.63,,
05-09-21,SL,*01MEB,MER,25.1,5.15,3.74,,
05-09-21,SL,*01MEA,MER,23.8,5.57,3.55,,
05-09-20,WP,*12PNO,PNN,22.3,6.91,4.01,,
05-09-20,WP,*12MEP,MER,22.8,6.51,3.6,,
05-09-20,WP,*12MEI,MER,21.4,7.21,3.53,,
05-09-20,SL,*11PNG,PNN,25.6,6.84,3.6,,
05-09-20,WP,*11MEZ,MER,24.1,6.08,3.51,,
05-09-20,WP,*11MEW,MER,24.4,5.55,3.57,,
05-09-20,WP,*11MEV,MER,24.8,6.05,3.5,,
05-09-20,WP,*11CHX,CHD,24.1,6.67,3.39,,
05-09-20,WP,*11CHX,CHD,23.9,5.4,3.68,,
05-09-20,SL,*10PGR,PGR,23.6,6.17,3.74,,
05-09-20,SL,*10PGR,PGR,23.1,5.02,3.79,,
05-09-20,WP,*10MEJ,MER,23.1,6.14,3.44,,
05-09-20,SL,*09MEC,MER,24.8,5.09,3.58,,
05-09-20,SL,*09MEA,MER,25.1,5.12,3.56,,
05-09-20,SL,*08MEC,MER,24.2,5.7,3.36,,
05-09-20,SL,*06PGH,PGR,22,5.95,3.77,,
05-09-20,WP,*06PGG,PGR,20.3,6.05,3.76,,
05-09-20,SL,*06PGE,PGR,23.6,7.88,3.39,,
05-09-20,SL,*06CHF,CHD,22.2,7.62,3.35,,
05-09-20,SL,*05CHK,CHD,23,7.61,3.42,,
05-09-20,SL,*05CHG,CHD,23,7.55,3.36,,
05-09-20,VT,*04MEA,MER,25.7,5.74,3.37,,
05-09-20,VT,*04MEA,MER,25.2,5.8,3.31,,
05-09-20,VT,*03MEJ,MER,25.9,5.35,3.7,,
05-09-20,VT,*03MEI,MER,25,4.74,3.94,,
05-09-20,VT,*03MEF,MER,25.5,5.19,3.57,,
05-09-20,VT,*03MEE,MER,23.5,6.76,3.3,,
05-09-20,VT,*02MEM,MER,25.5,5.89,3.52,,
05-09-20,VT,*02MEM,MER,25.3,5.63,3.52,,
05-09-20,VT,*02MEL,MER,25.2,6.56,3.39,,
05-09-20,VT,*02MEJ,MER,24.9,5.52,3.42,,
05-09-20,VT,*02MEJ,MER,25.4,5.39,3.61,,
05-09-20,VT,*02MEI,MER,25.8,5.62,3.64,,
05-09-20,VT,*02MEI,MER,25.7,5.73,3.56,,
05-09-20,VT,*02MEI,MER,25.7,5.17,3.73,,
