date,time,Code,Owner,Grower,Vineyard,blockID,variety,region,ID,product,brix,ta,ph,malic,alpha.amino,ammonia,calculated,potassium, 
18-10-01,8:20:28 PM,121,Mission Hill Family Estate,Sebastian Farms,SF10,10SYY,SY,BN,BS121,Must,23.2,7.3,3.34,2.64,112,45,149,1546,
18-10-22,7:53:34 PM,121,Mission Hill Family Estate,Sebastian Farms,SF10,10SYY,SY,BN,BS121,Must,24.3,6.5,3.43,2.64,104,33,132,1580,
18-08-28,7:28:28 PM,122,Mission Hill Family Estate,Sebastian Farms,SF10,10SBO,SB,BN,BS122,Must,18,10.3,2.91,3.41,43,57,90,1075,
18-09-04,4:25:25 PM,122,Mission Hill Family Estate,Sebastian Farms,SF10,10SBO,SB,BN,BS122,Must,19.7,9.3,2.96,2.81,26,36,56,1191,
18-09-10,8:10:14 PM,122,Mission Hill Family Estate,Sebastian Farms,SF10,10SBO,SB,BN,BS122,Must,19.6,7.4,3.07,1.9,37,34,65,989,
18-09-17,5:16:27 PM,122,Mission Hill Family Estate,Sebastian Farms,SF10,10SBO,SB,BN,BS122,Must,22.7,7.1,3.14,1.89,49,38,80,1177,
18-10-01,8:21:31 PM,123,Mission Hill Family Estate,Sebastian Farms,SF10,10SYL,SY,BN,BS123,Must,21.6,7.7,3.29,3.55,95,31,120,1618,
18-10-18,6:46:45 PM,123,Mission Hill Family Estate,Sebastian Farms,SF10,10SYL,SY,BN,BS123,Must,23,6.6,3.43,3.41,101,28,124,1536,
18-10-22,7:54:05 PM,123,Mission Hill Family Estate,Sebastian Farms,SF10,10SYL,SY,BN,BS123,Must,23.8,6.2,3.48,3.11,106,30,130,1682,
18-09-19,2:14:38 PM,124,Mission Hill Family Estate,Sebastian Farms,SF10,10RSU,RS,BN,BS124,Must,19.8,11.5,2.83,3.85,39,54,84,1198,
18-08-28,7:29:00 PM,125,Mission Hill Family Estate,Sebastian Farms,SF10,10SBB,SB,BN,BS125,Must,17.7,8.5,3.05,2.74,60,69,117,950,
18-09-04,4:24:54 PM,125,Mission Hill Family Estate,Sebastian Farms,SF10,10SBB,SB,BN,BS125,Must,19.1,6.7,3.11,1.47,40,37,71,941,
18-09-10,8:10:01 PM,125,Mission Hill Family Estate,Sebastian Farms,SF10,10SBB,SB,BN,BS125,Must,19.6,6.1,3.19,1.21,39,31,65,1031,
18-09-17,5:16:14 PM,125,Mission Hill Family Estate,Sebastian Farms,SF10,10SBB,SB,BN,BS125,Must,19.9,6.6,3.17,1.51,37,30,62,1113,
18-08-28,7:40:12 PM,127,Mission Hill Family Estate,Sebastian Farms,SF11,11CHO,CH,BS,BS127,Must,18.2,9.8,3.04,3.27,55,58,103,1214,
18-09-05,7:49:47 PM,127,Mission Hill Family Estate,Sebastian Farms,SF11,11CHO,CH,BS,BS127,Must,20.6,8.6,3.13,2.66,65,60,114,1264,
18-09-12,11:21:42 AM,127,Mission Hill Family Estate,Sebastian Farms,SF11,11CHO,CH,BS,BS127,Must,19.9,8.3,3.09,2.53,66,44,103,1231,
18-09-18,1:52:32 PM,127,Mission Hill Family Estate,Sebastian Farms,SF11,11CHO,CH,BS,BS127,Must,22.3,7.2,3.22,2.18,90,41,123,1326,
18-08-28,7:41:28 PM,128,Mission Hill Family Estate,Sebastian Farms,SF11,11CHD,CH,BS,BS128,Must,19.2,10.5,3.03,3.83,72,74,133,1313,
18-10-02,6:50:02 PM,130,Mission Hill Family Estate,Sebastian Farms,SF11,11CFN,CF,BS,BS130,Must,21.7,6.8,3.29,1.77,63,24,84,1302,
18-10-16,3:59:15 PM,130,Mission Hill Family Estate,Sebastian Farms,SF12,11CFN,CF,BS,BS130,Must,22.6,5.9,3.31,1.19,83,28,106,1242,
18-10-24,9:23:25 PM,130,Mission Hill Family Estate,Sebastian Farms,SF13,11CFN,CF,BS,BS130,Must,23.4,5.4,3.44,1.3,69,19,85,1307,
18-10-29,9:13:47 PM,130,Mission Hill Family Estate,Sebastian Farms,SF14,11CFN,CF,BS,BS130,Must,23.4,5.3,3.43,1.28,74,23,92,1180,
18-10-02,6:48:59 PM,132,Mission Hill Family Estate,Sebastian Farms,SF11,11CFL,CF,BS,BS132,Must,21.8,6.4,3.34,1.58,68,24,87,1312,
18-10-16,3:58:11 PM,132,Mission Hill Family Estate,Sebastian Farms,SF11,11CFL,CF,BS,BS132,Must,22,6,3.33,1.49,73,22,91,1247,
18-10-24,9:22:22 PM,132,Mission Hill Family Estate,Sebastian Farms,SF11,11CFL,CF,BS,BS132,Must,24,5.7,3.46,1.53,80,16,94,1387,
18-10-29,9:12:44 PM,132,Mission Hill Family Estate,Sebastian Farms,SF11,11CFL,CF,BS,BS132,Must,23.3,5.2,3.51,1.45,93,26,114,1280,
18-10-02,6:49:30 PM,133,Mission Hill Family Estate,Sebastian Farms,SF11,11CFM,CF,BS,BS133,Must,21.7,6.4,3.34,1.53,62,23,81,1349,
18-10-16,3:58:44 PM,133,Mission Hill Family Estate,Sebastian Farms,SF11,11CFM,CF,BS,BS133,Must,23.2,5.6,3.34,1.2,69,23,88,1244,
18-10-24,9:22:54 PM,133,Mission Hill Family Estate,Sebastian Farms,SF11,11CFM,CF,BS,BS133,Must,23.5,5.7,3.42,1.36,71,12,81,1361,
18-10-29,9:13:15 PM,133,Mission Hill Family Estate,Sebastian Farms,SF11,11CFM,CF,BS,BS133,Must,24,5.5,3.47,1.48,82,22,100,1245,
18-09-13,4:35:51 PM,134,Mission Hill Family Estate,Sebastian Farms,SF11,11GNK,GN,BS,BS134,Must,19.4,10,3.04,2.77,74,79,139,1353,
18-09-26,1:29:39 PM,134,Mission Hill Family Estate,Sebastian Farms,SF11,11GNK,GN,BS,BS134,Must,20.4,9.5,3.12,2.72,83,72,143,1337,
18-10-18,6:44:38 PM,135,Mission Hill Family Estate,Sebastian Farms,SF11,11CSR,CS,BS,BS135,Must,23.3,6.8,3.29,1.86,80,60,129,1136,
18-10-24,9:26:03 PM,135,Mission Hill Family Estate,Sebastian Farms,SF11,11CSR,CS,BS,BS135,Must,23.3,6.8,3.26,1.82,70,37,101,1296,
18-10-29,9:16:25 PM,135,Mission Hill Family Estate,Sebastian Farms,SF11,11CSR,CS,BS,BS135,Must,24,6.3,3.29,2.01,71,38,102,1207,
18-10-18,6:44:08 PM,136,Mission Hill Family Estate,Sebastian Farms,SF11,11CSQ,CS,BS,BS136,Must,22.8,7.5,3.29,2.32,87,66,142,1217,
18-10-24,9:25:31 PM,136,Mission Hill Family Estate,Sebastian Farms,SF11,11CSQ,CS,BS,BS136,Must,23.5,7,3.31,1.86,80,48,119,1324,
18-10-29,9:15:53 PM,136,Mission Hill Family Estate,Sebastian Farms,SF11,11CSQ,CS,BS,BS136,Must,24.1,7.1,3.35,2.21,104,79,169,1221,
18-10-18,6:43:35 PM,137,Mission Hill Family Estate,Sebastian Farms,SF11,11CSP,CS,BS,BS137,Must,24.6,6.8,3.38,2.31,99,71,158,1225,
18-10-24,9:24:28 PM,137,Mission Hill Family Estate,Sebastian Farms,SF11,11CSP,CS,BS,BS137,Must,24.2,6.8,3.34,2.19,93,47,132,1333,
18-10-29,9:14:52 PM,137,Mission Hill Family Estate,Sebastian Farms,SF11,11CSP,CS,BS,BS137,Must,23.4,7.2,3.26,2.75,90,54,134,1245,
18-10-24,9:25:01 PM,138,Mission Hill Family Estate,Sebastian Farms,SF11,11CSB,CS,BS,BS138,Must,23.8,6.9,3.36,2.72,89,36,119,1508,
18-10-29,9:15:22 PM,138,Mission Hill Family Estate,Sebastian Farms,SF11,11CSB,CS,BS,BS138,Must,23.9,6.3,3.35,2.36,88,41,122,1294,
18-10-24,9:23:57 PM,139,Mission Hill Family Estate,Sebastian Farms,SF11,11CSA,CS,BS,BS139,Must,24.6,6.3,3.45,2.56,95,46,133,1479,
18-10-29,9:14:19 PM,139,Mission Hill Family Estate,Sebastian Farms,SF11,11CSA,CS,BS,BS139,Must,24.4,6.2,3.47,2.46,91,52,134,1463,
18-08-27,5:30:44 PM,140,Mission Hill Family Estate,Sebastian Farms,SF11,11CHX,CH,BS,BS140,Must,20.3,9.3,3.11,3.33,86,81,153,1261,
18-08-23,12:58:28 PM,140,Mission Hill Family Estate,Sebastian Farms,SF11,11CHX,CH,BS,BS140- 11CHXB,Must,17.9,9.3,3.17,3.8,131,96,210,1564,
18-08-30,2:58:06 PM,144,Mission Hill Family Estate,Sebastian Farms,SF11,11PBS,PB,BS,BS144,Must,19.2,10,3,3.84,56,59,105,1218,
18-09-06,5:00:55 PM,144,Mission Hill Family Estate,Sebastian Farms,SF11,11PBS,PB,BS,BS144,Must,20.8,7.8,3.09,1.99,58,52,101,1044,
18-09-13,4:31:38 PM,144,Mission Hill Family Estate,Sebastian Farms,SF11,11PBS,PB,BS,BS144,Must,23,7.1,3.18,1.88,72,52,114,1101,
18-10-01,8:24:10 PM,145,Mission Hill Family Estate,Sebastian Farms,SF11,11MEZ,ME,BS,BS145,Must,22.4,7.8,3.25,2.29,79,47,118,1390,
18-10-15,8:45:23 PM,145,Mission Hill Family Estate,Sebastian Farms,SF11,11MEZ,ME,BS,BS145,Must,23.6,6.7,3.41,2.37,85,33,112,1539,
18-10-01,8:23:38 PM,146,Mission Hill Family Estate,Sebastian Farms,SF11,11MEWC,ME,BS,BS146,Must,24.8,5.6,3.45,1.94,67,7,72,1542,
18-10-01,8:23:06 PM,147,Mission Hill Family Estate,Sebastian Farms,SF11,11MEWB,ME,BS,BS147,Must,24.5,5.7,3.42,1.97,63,11,72,1486,
18-10-15,8:44:20 PM,147,Mission Hill Family Estate,Sebastian Farms,SF11,11MEWB,ME,BS,BS147,Must,25.1,4.5,3.59,1.53,81,10,89,1498,
18-10-01,8:22:35 PM,148,Mission Hill Family Estate,Sebastian Farms,SF11,11MEWA,ME,BS,BS148,Must,21.7,7.8,3.27,2.27,71,41,105,1455,
18-10-15,8:43:48 PM,148,Mission Hill Family Estate,Sebastian Farms,SF11,11MEWA,ME,BS,BS148,Must,22.8,7,3.33,1.97,82,39,114,1370,
18-10-01,8:22:03 PM,149,Mission Hill Family Estate,Sebastian Farms,SF11,11MEV,ME,BS,BS149,Must,22.7,7.7,3.25,2.08,80,52,123,1365,
18-10-15,8:44:53 PM,149,Mission Hill Family Estate,Sebastian Farms,SF11,11MEV,ME,BS,BS149,Must,22.6,7.3,3.36,2.02,103,61,153,1438,
18-10-24,9:27:06 PM,152,Mission Hill Family Estate,Sebastian Farms,SF12,12CSL,CS,BN,BS152,Must,22.5,6.1,3.42,2.34,97,39,130,1581,
18-10-18,6:45:10 PM,153,Mission Hill Family Estate,Sebastian Farms,SF12,12CSD,CS,BN,BS153,Must,21.7,7.3,3.33,2.67,101,67,156,1260,
18-10-24,9:26:34 PM,153,Mission Hill Family Estate,Sebastian Farms,SF12,12CSD,CS,BN,BS153,Must,22.2,7.4,3.36,3,124,72,183,1502,
18-10-29,9:16:57 PM,153,Mission Hill Family Estate,Sebastian Farms,SF12,12CSD,CS,BN,BS153,Must,22.3,8.1,3.26,3.03,112,77,175,1346,
18-08-31,12:13:07 PM,154,Mission Hill Family Estate,Sebastian Farms,SF12,12PNA,PN,BN,BS154,Must,18.9,7.8,3.23,2.83,120,94,198,1418,
18-09-06,4:57:14 PM,154,Mission Hill Family Estate,Sebastian Farms,SF12,12PNA,PN,BN,BS154,Must,20.6,7.6,3.26,2.23,106,90,181,1389,
18-09-20,4:41:17 PM,155,Mission Hill Family Estate,Sebastian Farms,SF12,12PBM,PB,BN,BS155,Must,20.2,8,3.17,2.23,79,60,128,1290,
18-08-28,7:43:34 PM,156,Mission Hill Family Estate,Sebastian Farms,SF12,12PNC,PN,BN,BS156,Must,17.2,9.3,3.15,2.99,99,107,188,1259,
18-09-11,6:42:46 PM,157,Mission Hill Family Estate,Sebastian Farms,SF12,12PNB,PN,BN,BS157,Must,20.5,8,3.25,2.55,100,75,163,1448,
18-08-28,7:30:03 PM,159,Mission Hill Family Estate,Sebastian Farms,SF11,11PNH,PN,BS,BS159,Must,19.1,10.2,3.04,3.98,76,80,142,1209,
18-08-31,12:11:32 PM,159,Mission Hill Family Estate,Sebastian Farms,SF11,11PNH,PN,BS,BS159,Must,19.1,10.3,2.96,3.97,69,74,130,1239,
18-09-06,4:56:11 PM,159,Mission Hill Family Estate,Sebastian Farms,SF11,11PNH,PN,BS,BS159,Must,21.5,8.8,3.16,3.22,78,60,128,1464,
18-09-11,6:42:14 PM,159,Mission Hill Family Estate,Sebastian Farms,SF11,11PNH,PN,BS,BS159,Must,23.7,7.3,3.27,2.77,86,57,133,1375,
18-08-28,7:40:56 PM,160,Mission Hill Family Estate,Sebastian Farms,SF11,11SBY,SB,BS,BS160,Must,17.8,10.4,2.94,3.37,67,92,143,1010,
18-09-04,4:26:28 PM,160,Mission Hill Family Estate,Sebastian Farms,SF11,11SBY,SB,BS,BS160,Must,20.4,9.4,2.97,3.08,53,63,106,1032,
18-09-10,8:11:17 PM,160,Mission Hill Family Estate,Sebastian Farms,SF11,11SBY,SB,BS,BS160,Must,22.3,7.3,3.16,1.98,85,79,150,997,
18-08-28,7:40:26 PM,161,Mission Hill Family Estate,Sebastian Farms,SF11,11SBU,SB,BS,BS161,Must,17.2,9.5,2.96,3.11,42,59,90,979,
18-09-04,4:25:57 PM,161,Mission Hill Family Estate,Sebastian Farms,SF11,11SBU,SB,BS,BS161,Must,18.8,9,2.97,2.76,36,49,77,988,
18-09-10,8:10:46 PM,161,Mission Hill Family Estate,Sebastian Farms,SF11,11SBU,SB,BS,BS161,Must,22.6,8,3.09,2.47,49,39,82,1201,
18-10-02,6:50:34 PM,163,Mission Hill Family Estate,Sebastian Farms,SF12,12CFEA,CF,BN,BS163,Must,22.4,6.4,3.32,2.07,87,22,105,1317,
18-08-28,7:42:31 PM,164,Mission Hill Family Estate,Sebastian Farms,SF12,12CHQ,CH,BN,BS164,Must,18.4,7.9,3.28,2.83,92,66,146,1441,
18-09-04,4:35:26 PM,164,Mission Hill Family Estate,Sebastian Farms,SF12,12CHQ,CH,BN,BS164,Must,18.8,8.2,3.19,2.8,73,44,110,1421,
18-09-12,11:24:20 AM,164,Mission Hill Family Estate,Sebastian Farms,SF12,12CHQ,CH,BN,BS164,Must,19.8,5.8,3.41,2.15,117,41,151,1488,
18-09-18,1:53:36 PM,164,Mission Hill Family Estate,Sebastian Farms,SF12,12CHQ,CH,BN,BS164,Must,21.4,5.9,3.44,2.23,86,15,99,1750,
18-09-28,6:07:18 PM,164,Mission Hill Family Estate,Sebastian Farms,SF12,12CHQ,CH,BN,BS164,Must,23.7,5.4,3.63,2.32,108,20,125,1891,
18-08-28,7:43:03 PM,165,Mission Hill Family Estate,Sebastian Farms,SF12,12CHI,CH,BN,BS165,Must,17.1,9.5,3.12,3.45,80,63,132,1368,
18-09-04,4:34:55 PM,165,Mission Hill Family Estate,Sebastian Farms,SF12,12CHI,CH,BN,BS165,Must,18.6,8.5,3.18,3.13,74,40,107,1500,
18-09-12,11:23:48 AM,165,Mission Hill Family Estate,Sebastian Farms,SF12,12CHI,CH,BN,BS165,Must,20.8,6.7,3.3,2.56,92,32,118,1509,
18-09-18,1:53:04 PM,165,Mission Hill Family Estate,Sebastian Farms,SF12,12CHI,CH,BN,BS165,Must,21.1,7,3.37,2.86,86,22,104,1712,
18-09-28,6:07:50 PM,165,Mission Hill Family Estate,Sebastian Farms,SF12,12CHI,CH,BN,BS165,Must,22.8,6.3,3.53,2.76,106,22,124,1870,
18-08-27,7:13:07 PM,173,Mission Hill Family Estate,Sebastian Farms,SF15,15CHCA,CH,NB,BS173,Must,17.7,13.5,2.81,5.34,49,86,120,1275,
18-09-05,7:53:28 PM,173,Mission Hill Family Estate,Sebastian Farms,SF15,15CHCA,CH,NB,BS173,Must,21.1,11.4,2.94,4.2,53,69,110,1300,
18-09-11,6:50:09 PM,173,Mission Hill Family Estate,Sebastian Farms,SF15,15CHCA,CH,NB,BS173,Must,21.7,10.4,3.02,3.54,61,60,111,1353,
18-08-31,12:12:03 PM,174,Mission Hill Family Estate,Sebastian Farms,SF12,12PNH,PN,BN,BS174,Must,18.7,10.2,3.02,4.16,86,77,150,1277,
18-09-06,4:56:43 PM,174,Mission Hill Family Estate,Sebastian Farms,SF12,12PNH,PN,BN,BS174,Must,20.7,9.3,3.14,3.36,94,69,151,1517,
18-08-31,12:12:35 PM,175,Mission Hill Family Estate,Sebastian Farms,SF12,12PNO,PN,BN,BS175,Must,17.3,9.8,3.04,3.18,92,99,173,1251,
18-09-10,8:20:47 PM,175,Mission Hill Family Estate,Sebastian Farms,SF12,12PNO,PN,BN,BS175,Must,21.5,9.5,3.05,3.72,75,58,123,1323,
18-09-19,2:16:13 PM,176,Mission Hill Family Estate,Sebastian Farms,SF12,12RSF,RS,BN,BS176,Must,18.9,12.2,2.77,4.23,33,50,74,1154,
18-09-13,4:32:09 PM,177,Mission Hill Family Estate,Sebastian Farms,SF12,12RSP,RS,BN,BS177,Must,17.5,14.3,2.75,5.16,33,72,92,1398,
18-09-19,2:15:41 PM,177,Mission Hill Family Estate,Sebastian Farms,SF12,12RSP,RS,BN,BS177,Must,19.4,11.6,2.82,4,44,57,91,1196,
18-08-28,7:41:59 PM,178,Mission Hill Family Estate,Sebastian Farms,SF12,12SBJ,SB,BN,BS178,Must,15.3,11,2.89,3.43,48,85,118,1061,
18-09-04,4:27:00 PM,178,Mission Hill Family Estate,Sebastian Farms,SF12,12SBJ,SB,BN,BS178,Must,15.5,10.4,2.89,3.11,35,63,86,1049,
18-09-10,8:11:49 PM,178,Mission Hill Family Estate,Sebastian Farms,SF12,12SBJ,SB,BN,BS178,Must,19.7,7.6,3.1,1.98,55,62,106,1033,
18-09-17,5:16:58 PM,178,Mission Hill Family Estate,Sebastian Farms,SF12,12SBJ,SB,BN,BS178,Must,18,7.9,3.07,2.11,42,48,82,1021,
18-09-26,1:30:10 PM,178,Mission Hill Family Estate,Sebastian Farms,SF12,12SBJ,SB,BN,BS178,Must,20.4,7.4,3.13,1.66,71,56,118,1139,
18-09-13,4:36:23 PM,179,Mission Hill Family Estate,Sebastian Farms,SF12,12SMG,SM,BN,BS179,Must,20.3,7.3,3.32,2.65,116,80,182,1431,
18-09-20,4:40:13 PM,179,Mission Hill Family Estate,Sebastian Farms,SF12,12SMG,SM,BN,BS179,Must,22.1,7.2,3.31,2.37,127,83,196,1355,
18-09-20,4:39:42 PM,180,Mission Hill Family Estate,Sebastian Farms,SF12,12SMN,SM,BN,BS180,Must,20.3,6.5,3.29,1.68,84,55,130,1219,
18-10-22,7:54:59 PM,181,Mission Hill Family Estate,Sebastian Farms,SF12,12SYK,SY,BN,BS181,Must,24.2,5.5,3.49,2.3,90,22,108,1523,
18-08-27,7:10:29 PM,182,Mission Hill Family Estate,Sebastian Farms,SF15,15PGEC,PG,NB,BS182,Must,16.6,13.9,2.71,5.45,18,44,53,1176,
18-09-11,6:52:15 PM,182,Mission Hill Family Estate,Sebastian Farms,SF15,15PGEC,PG,NB,BS182,Must,20.2,10.2,2.96,3.35,66,56,112,1119,
18-09-18,7:31:45 PM,182,Mission Hill Family Estate,Sebastian Farms,SF15,15PGEC,PG,NB,BS182,Must,21.3,9.1,2.97,2.56,43,34,72,1058,
18-08-27,7:14:10 PM,184,Mission Hill Family Estate,Sebastian Farms,SF15,15MOV,MO,NB,BS184,Must,18.1,5,3.33,1.26,62,27,84,1187,
18-08-27,7:14:42 PM,185,Mission Hill Family Estate,Sebastian Farms,SF15,15MOEE,MO,NB,BS185,Must,18,6.4,3.25,2.06,81,50,122,1230,
18-09-05,7:51:54 PM,185,Mission Hill Family Estate,Sebastian Farms,SF15,15MOEE,MO,NB,BS185,Must,19.8,6.5,3.31,2.07,80,38,111,1294,
18-09-11,6:48:34 PM,185,Mission Hill Family Estate,Sebastian Farms,SF15,15MOEE,MO,NB,BS185,Must,20.6,5.7,3.39,1.66,94,40,127,1288,
