company,vineyard,variety,block.num,qg.block.readable,rootstock,plants.number,total.per.vineyard,notes
Arterra,Dark Horse,Cabernet sauvignon,A or C,,SR,0,0,"used same color for Tempranillo. Clone unknown, so we decided to not sample "
Arterra,Dark Horse,Pinot noir,G,,SR,36,1,
Arterra,Dark Horse,Pinot noir,H,,,0,0,
Arterra,Dark Horse,Chardonnay,B,,SR,0,0,
Arterra,Dark Horse,Chardonnay,I,,3309,36,1,there is also RG and 101-14 rootsock
Arterra,Dark Horse,Chardonnay,N,,SO4,0,0,
Arterra,Dark Horse,Chardonnay,E,,SO4,0,0,baby plants?
Arterra,Dark Horse,Chardonnay,L,,3309,0,0,Definitely baby plants
Arterra,NK'MIP Cellars,Merlot,A,,RGM,36,0,
Arterra,NK'MIP Cellars,Merlot,E,,3309/SO4,0,0,"very small block, diff orientation? Root ctock 3309-143"
Arterra,NK'MIP Cellars,Merlot,G,,3309,36,1,
Arterra,NK'MIP Cellars,Cabernet sauvignon,B,,RGM,36,1,
Arterra,NK'MIP Cellars,Syrah,C,,101-14,36,1,Some root stock 101-14-759
Arterra,NK'MIP Cellars,Syrah,F,,RGM,24,1,
,,,,,,,,
,,,,,,,,
Arterra,NK'MIP Cellars,,,,,,168,
Arterra,Dark Horse,,,,,,120,
Arterra,McIntyre,,,,,,156,
Arterra,Whitetail,,,,,,156,
Quails Gate,Estate,,,,,,204,
Quails Gate,Mannhardt,,,,,,108,
,,,,,,overall total ,924,
